timestamp,equipment_id,pressure_bar,temperature_c,vibration_mm_s,flow_rate_l_min,status
2026-09-08 12:22:39,VALVE-001,68.27,64.53,2.82,82.11,NORMAL
2026-09-08 12:22:44,VALVE-001,70.84,67.6,1.68,84.69,NORMAL
2026-09-08 12:22:49,VALVE-001,80.63,70.89,2.57,93.15,NORMAL
2026-09-08 12:22:54,VALVE-001,75.51,63.09,2.47,83.49,NORMAL
2026-09-08 12:22:59,VALVE-001,72.47,69.93,2.18,85.07,NORMAL
2026-09-08 12:23:04,VALVE-001,77.01,70.08,1.81,79.34,NORMAL
2026-09-08 12:23:09,VALVE-001,74.32,68.15,1.8,84.55,NORMAL
2026-09-08 12:23:14,VALVE-001,70.28,72.3,2.27,86.65,NORMAL
2026-09-08 12:23:19,VALVE-001,76.34,71.99,1.17,82.58,NORMAL
2026-09-08 12:23:24,VALVE-001,73.0,66.21,2.53,89.68,NORMAL
2026-09-08 12:23:29,VALVE-001,73.14,65.04,1.57,80.54,NORMAL
2026-09-08 12:23:34,VALVE-001,71.66,60.16,1.77,83.29,NORMAL
2026-09-08 12:23:39,VALVE-001,67.54,69.41,2.32,85.89,NORMAL
2026-09-08 12:23:44,VALVE-001,71.23,63.51,2.11,83.91,NORMAL
2026-09-08 12:23:49,VALVE-001,80.39,69.13,3.17,67.77,WARNING
2026-09-08 12:23:54,VALVE-001,72.63,60.59,2.65,80.9,NORMAL
2026-09-08 12:24:00,VALVE-001,71.35,63.26,2.64,88.63,NORMAL
2026-09-08 12:24:05,VALVE-001,65.46,65.68,2.37,93.43,NORMAL
2026-09-08 12:24:10,VALVE-001,72.81,62.46,1.1,83.4,NORMAL
2026-09-08 12:24:15,VALVE-001,70.94,62.65,1.81,85.01,NORMAL
2026-09-08 12:24:20,VALVE-001,76.67,59.96,2.63,89.21,NORMAL
2026-09-08 12:24:25,VALVE-001,77.09,62.08,2.49,85.56,NORMAL
2026-09-08 12:24:30,VALVE-001,71.06,60.15,2.42,89.94,NORMAL
2026-09-08 12:24:35,VALVE-001,67.11,68.38,1.7,78.2,NORMAL
2026-09-08 12:24:40,VALVE-001,74.09,64.48,2.15,84.32,NORMAL
2026-09-08 12:24:45,VALVE-001,70.43,63.31,1.44,82.36,NORMAL
2026-09-08 12:24:50,VALVE-001,68.08,72.25,2.43,85.09,NORMAL
2026-09-08 12:24:55,VALVE-001,70.33,57.69,2.37,91.02,NORMAL
2026-09-08 12:25:00,VALVE-001,77.06,68.68,2.33,87.75,NORMAL
2026-09-08 12:25:05,VALVE-001,65.22,61.96,1.85,80.07,NORMAL
2026-09-08 12:25:10,VALVE-001,84.08,66.12,1.96,80.94,NORMAL
2026-09-08 12:25:15,VALVE-001,77.71,67.37,2.74,80.43,NORMAL
2026-09-08 12:25:20,VALVE-001,69.57,60.77,2.18,88.93,NORMAL
2026-09-08 12:25:25,VALVE-001,73.01,59.9,1.89,83.17,NORMAL
2026-09-08 12:25:30,VALVE-001,79.3,60.75,1.83,90.28,NORMAL
2026-09-08 12:25:35,VALVE-001,81.72,70.16,2.15,95.93,NORMAL
2026-09-08 12:25:40,VALVE-001,78.08,67.26,2.59,83.41,NORMAL
2026-09-08 12:25:45,VALVE-001,74.84,57.53,1.08,83.32,NORMAL
2026-09-08 12:25:50,VALVE-001,78.32,64.25,2.34,89.37,NORMAL
2026-09-08 12:25:55,VALVE-001,78.01,63.38,2.11,85.63,NORMAL
2026-09-08 12:26:00,VALVE-001,68.57,66.58,2.18,94.63,NORMAL
2026-09-08 12:26:05,VALVE-001,76.1,58.38,2.52,90.81,NORMAL
2026-09-08 12:26:10,VALVE-001,75.66,64.31,2.5,87.4,NORMAL
2026-09-08 12:26:15,VALVE-001,69.88,74.32,2.89,83.97,NORMAL
2026-09-08 12:26:20,VALVE-001,70.67,65.03,2.18,86.8,NORMAL
2026-09-08 12:26:25,VALVE-001,70.71,66.64,1.59,84.39,NORMAL
